Judge,Offense,AverageIncarcerationYear,TotalCasesYear,TotalIncarcerationYears,MaxSentenceYear,MinSentenceYear,StdDevSentenceYear,MedianSentenceYear,ModeSentenceYear,AverageProbationMonth,TotalProbationMonthInstances,TotalIncarcerationMonth,MaxProbationMonth,MinProbationMonth,StdDevProbationMonth,MedianProbationMonth,ModeProbationMonth,County,Judgeid
ANGELA F BORKOWSKI,TERRORISTIC THREATS-THREAT TO,261.571428571429,7,1831,1460,0,545.467340037531,0,0,22.7142857142857,7,159,60,0,26.8248285841947,12,0,"HNT, SOM",
ANGELA F BORKOWSKI,TERRORISTIC THREATS-THREATEN I,638.75,4,2555,1460,0,752.466776675223,547.5,0,9,4,36,24,0,11.4891252930761,6,0,HNT,
ANGELA F BORKOWSKI,THEFT,2,1,2,2,2,,2,2,0,1,0,0,0,,0,0,HNT,
ANGELA F BORKOWSKI,"THEFT BETWEEN $500. - $75,000",0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,HNT,
ANGELA F BORKOWSKI,THEFT BY DECEPTION-FALSE IMPR-,218,1,218,218,218,,218,218,12,1,12,12,12,,12,12,HNT,
ANGELA F BORKOWSKI,THEFT BY DECEPTION-VALUE $200-,1,1,1,1,1,,1,1,24,1,24,24,24,,24,24,HNT,
ANGELA F BORKOWSKI,THEFT BY DECEPTION-VALUE $500-,0,5,0,0,0,0,0,0,36,5,180,60,0,25.4558441227157,36,60,"HNT, SOM",
ANGELA F BORKOWSKI,THEFT BY UNLAWFL TAKNG-MOVABLE,330.2,50,16510,2190,0,584.577468199494,0,0,21.02,50,1051,60,0,24.4410911944518,7,0,"HNT, SOM, WRN",
ANGELA F BORKOWSKI,THEFT BY UNLAWFL TAKNG-VALUE L,20,1,20,20,20,,20,20,0,1,0,0,0,,0,0,HNT,
ANGELA F BORKOWSKI,THEFT BY UNLAWFUL TAKNG-MOVABL,0,3,0,0,0,0,0,0,12,3,36,12,12,0,12,12,HNT,
ANGELA F BORKOWSKI,THEFT CREDIT CARDS-TAKING,223,1,223,223,223,,223,223,48,1,48,48,48,,48,48,HNT,
ANGELA F BORKOWSKI,THEFT OF PROP LOST/MISLAID/DEL,7,1,7,7,7,,7,7,0,1,0,0,0,,0,0,HNT,
ANGELA F BORKOWSKI,"THEFT-VALUE BETWEEN $500-$74,9",273,1,273,273,273,,273,273,36,1,36,36,36,,36,36,HNT,
ANGELA F BORKOWSKI,THEFT-VALUE LESS THAN $200,160,1,160,160,160,,160,160,0,1,0,0,0,,0,0,HNT,
ANGELA F BORKOWSKI,THROWING BODILY FLUID AT LAW E,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,SOM,
ANGELA F BORKOWSKI,UNLAW TAKING MEANS CONVEYANCE-,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,HNT,
ANGELA F BORKOWSKI,UNLAW TAKING MEANS OF CONVEYAN,103.571428571429,7,725,365,0,143.140789833945,0,0,10.8571428571429,7,76,24,0,12.3750901872616,4,0,"HNT, SOM",
ANGELA F BORKOWSKI,UNLAWFUL POSS WEAP - OTHER WEA,117.75,4,471,360,0,169.336696160834,55.5,0,21,4,84,36,0,15.0996688705415,24,24,HNT,
ANGELA F BORKOWSKI,UNLAWFUL POSS WEAP - RIFLE/SHO,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,HNT,
ANGELA F BORKOWSKI,UNLAWFUL POSS WEAP - RIFLES/SH,0,2,0,0,0,0,0,0,18,2,36,36,0,25.4558441227157,18,0,HNT,
ANGELA F BORKOWSKI,UNLAWFUL POSS WEAPON - HANDGUN,0,1,0,0,0,,0,0,5,1,5,5,5,,5,5,HNT,
ANGELA F BORKOWSKI,UNLAWFUL POSS WEAPON-HANDGUNS,756,14,10584,1825,0,876.318435273389,182,0,17.2142857142857,14,241,36,0,17.9836616936621,12.5,0,"HNT, SOM",
ANGELA F BORKOWSKI,UNLAWFUL POSSESSION OF WEAPONS,1,2,2,2,0,1.4142135623731,1,0,36,2,72,36,36,0,36,36,HNT,
ANGELA F BORKOWSKI,USE/POSS W/INTENT TO USE DRUG,4.33333333333333,9,39,31,0,10.3440804327886,0,0,5.33333333333333,9,48,12,0,6.32455532033676,0,0,HNT,
ANGELA F BORKOWSKI,USE/POSS W/INTEUSE/POSS W/INT,2,3,6,6,0,3.46410161513775,0,0,0,3,0,0,0,0,0,0,HNT,
ANGELA F BORKOWSKI,VEHICLE TITLE FRAUD-MISREPRESE,0,1,0,0,0,,0,0,1,1,1,1,1,,1,1,SOM,
ANGELA F BORKOWSKI,WANDERING/PROWLING TO OBTAIN/S,35.5,4,142,141,0,70.3349130944227,0.5,0,6,4,24,12,0,6.92820323027551,6,0,"HNT, SOM",
ANGELA F BORKOWSKI,WEAPONS-MANU/TRANSPO /DISP/DEF,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,SOM,
ANGELO SERVIDIO,ABUSE OF CHILD - CRUELTY - NEG,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,HUD,
ANGELO SERVIDIO,ABUSE/ABANDONMENT/CRUELTY & NE,0,2,0,0,0,0,0,0,21,2,42,24,18,4.24264068711929,21,18,HUD,
ANGELO SERVIDIO,AGG ASSAULT,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,AGG ASSAULT - ON DOMESTIC VIOL,1460,1,1460,1460,1460,,1460,1460,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,AGG ASSAULT - STRANGLE DOMESTI,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,HUD,
ANGELO SERVIDIO,AGG ASSAULT W/ FIREARM,540,2,1080,540,540,0,540,540,0,2,0,0,0,0,0,0,HUD,
ANGELO SERVIDIO,AGG ASSAULT-ATTEMPT/CAUSE BI W,486.666666666667,3,1460,1460,0,842.931393016854,0,0,20,3,60,36,0,18.3303027798234,24,0,HUD,
ANGELO SERVIDIO,AGG ASSAULT-ATTEMPT/CAUSE SBI,973.333333333333,3,2920,1825,0,918.563189624608,1095,0,16,3,48,48,0,27.712812921102,0,0,HUD,
ANGELO SERVIDIO,AGG ASSAULT-ATTEMPT/CAUSE SIGN,592.875,8,4743,1825,0,778.960926491182,364,0,24,8,192,36,0,16.9705627484771,36,36,HUD,
ANGELO SERVIDIO,AGG ASSAULT-ON LAW ENFORCEMENT,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,AGG ASSLT SBI,364,1,364,364,364,,364,364,36,1,36,36,36,,36,36,HUD,
ANGELO SERVIDIO,AGGRAVATED SEXUAL ASSAULT - VI,7665,1,7665,7665,7665,,7665,7665,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,BURGLARY-ENTERING STRUCTURE ET,364.933333333333,15,5474,1460,0,585.302176738852,0,0,18.8,15,282,36,0,16.7979590597021,24,0,HUD,
ANGELO SERVIDIO,BURGLARY-NO BI AND/OR UNARMED,319.375,8,2555,1460,0,599.359405055574,0,0,18.75,8,150,36,0,12.6010203668478,24,24,HUD,
ANGELO SERVIDIO,CAUSES CHILD HARM THAT MAKES C,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,HUD,
ANGELO SERVIDIO,CDS/ANALOG - DISTRIBUTE ON/NEA,474.5,10,4745,1460,0,621.572602356314,0,0,12,10,120,36,0,13.856406460551,6,0,HUD,
ANGELO SERVIDIO,CIRCULATE FALSE REPORT OF IMPE,0,1,0,0,0,,0,0,18,1,18,18,18,,18,18,HUD,
ANGELO SERVIDIO,CONSPIRACY - AGREE/ENGAGE IN C,0,2,0,0,0,0,0,0,6,2,12,12,0,8.48528137423857,6,0,HUD,
ANGELO SERVIDIO,CONTEMPT - JUDICIAL ORDER,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,HUD,
ANGELO SERVIDIO,CONTEMPT - VIOLATE DV ORDER W/,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,CONTEMPT-VIOLATE JUDICIAL/REST,0,2,0,0,0,0,0,0,30,2,60,36,24,8.48528137423857,30,24,HUD,
ANGELO SERVIDIO,CREDIT CARD CRIME-CRED CARD TH,364,1,364,364,364,,364,364,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,CREDIT CARD THEFT - FRAUDULENT,730,2,1460,1460,0,1032.37590053236,730,0,18,2,36,36,0,25.4558441227157,18,0,HUD,
ANGELO SERVIDIO,CRIMINAL ATTEMPT - PURPOSELY E,547.5,2,1095,1095,0,774.28192539927,547.5,0,6,2,12,12,0,8.48528137423857,6,0,HUD,
ANGELO SERVIDIO,CRIMINAL MISCHIEF DAMAGE BETWE,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,HUD,
ANGELO SERVIDIO,CRIMINAL MISCHIEF-DAMAGE PROPE,175.5,6,1053,540,0,272.017462674733,0,0,13,6,78,36,0,15.3753048750261,9,0,HUD,
ANGELO SERVIDIO,CRIMINAL SEXUAL CONTACT,0,2,0,0,0,0,0,0,36,2,72,60,12,33.9411254969543,36,12,HUD,
ANGELO SERVIDIO,CRIMINAL TRESPASS-PEERING INTO,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,HUD,
ANGELO SERVIDIO,CRIMINAL TRESPASS-RESEARCH FAC,270,2,540,540,0,381.837661840736,270,0,30,2,60,60,0,42.4264068711929,30,0,HUD,
ANGELO SERVIDIO,CRUELTY & NEGLECT OF CHILDREN,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,HUD,
ANGELO SERVIDIO,DISORDERLY CONDUCT-OFFENSIVE L,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,HUD,
ANGELO SERVIDIO,ENDANGERING-ABUSE/NEGLECT OF A,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,HARASSMENT-COMMUNICATION IN MA,88.3333333333333,6,530,526,0,214.414240820582,1,0,4,6,24,12,0,6.19677335393187,0,0,HUD,
ANGELO SERVIDIO,IDENTITY CRIME-VAL UNDER $500,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,IMPROPER BEHAVIOR,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,HUD,
ANGELO SERVIDIO,INCONVENIENT ANNOYANCE,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,INITI/CIRCU/CAUSE REPORT/WARN,0,1,0,0,0,,0,0,18,1,18,18,18,,18,18,HUD,
ANGELO SERVIDIO,KNOWING LEAVING SCENE OF MV AC,2555,1,2555,2555,2555,,2555,2555,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,KNOWINGLY LEAVE SCENE OF ACCID,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,HUD,
ANGELO SERVIDIO,MANUF/DISTR CDS OR INTENT TO M,510.4,5,2552,1460,0,553.747957106841,364,364,28.8,5,144,36,0,16.0996894379985,36,36,HUD,
ANGELO SERVIDIO,MFD/D/D HEROIN/COKE >=5OZ 1ST,1460,1,1460,1460,1460,,1460,1460,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,OBST PUBLIC PASS - PURPOSELY/R,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,"POSS CDS - > 50G MARIJUANA, 5G",0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,POSS CDS/ANALOG - SCHD I II II,449.230769230769,13,5840,1460,0,598.901237523928,0,0,14.7692307692308,13,192,36,0,13.1031411383801,24,24,HUD,
ANGELO SERVIDIO,POSS MJ>50G HASH>5G 4TH DEGREE,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,HUD,
ANGELO SERVIDIO,POSS OF WEAPON FOR UNLAWFUL PU,182,2,364,364,0,257.386868351903,182,0,12,2,24,24,0,16.9705627484771,12,0,HUD,
ANGELO SERVIDIO,RECEIVING STOLEN PROPERTY-VALU,226,4,904,540,0,270.673234731475,182,0,3,4,12,12,0,6,0,0,HUD,
ANGELO SERVIDIO,RECEIVNG STOLEN PROP-KNOW PROP,638.5,4,2554,1095,0,547.666869547538,729.5,1095,12,4,48,24,0,13.856406460551,12,0,HUD,
ANGELO SERVIDIO,REG OF SEX OFF-NOTICE OF CHANG,547.5,2,1095,1095,0,774.28192539927,547.5,0,12,2,24,24,0,16.9705627484771,12,0,HUD,
ANGELO SERVIDIO,REGISTRATION OF SEX OFFENDER-V,486.666666666667,3,1460,1460,0,842.931393016854,0,0,6,3,18,18,0,10.3923048454133,0,0,HUD,
ANGELO SERVIDIO,RESIST ARR/ELUD-FLIGHT PREVENT,301.333333333333,3,904,540,0,275.400314693599,364,0,4,3,12,12,0,6.92820323027551,0,0,HUD,
ANGELO SERVIDIO,RESIST ARR/ELUD-PREVENTS OFFIC,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,HUD,
ANGELO SERVIDIO,RESIST ARR/ELUD-USE/THREATEN F,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,HUD,
ANGELO SERVIDIO,RESISTING ARREST-PURPOSELY,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,ROBBERY-INFLICTS BI OR USES FO,1825,1,1825,1825,1825,,1825,1825,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,SEXUAL ASSAULT-VIC < 13 & DEF,2555,1,2555,2555,2555,,2555,2555,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,SHOPLIFTING-CONCEAL MERCH-RETA,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,HUD,
ANGELO SERVIDIO,SHOPLIFTING-TAKE MERCH W/OUT P,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,SIMPLE ASSAULT,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,SIMPLE ASSAULT-BODILY INJURY/P,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,SIMPLE ASSAULT-PURPOSELY/KNOWI,2.33333333333333,3,7,7,0,4.04145188432738,0,0,4,3,12,12,0,6.92820323027551,0,0,HUD,
ANGELO SERVIDIO,SPECIAL SENTENCE PSL/CSL - VIO,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,HUD,
ANGELO SERVIDIO,TAMPERING WITH RECORDS-DESTROY,364,1,364,364,364,,364,364,18,1,18,18,18,,18,18,HUD,
ANGELO SERVIDIO,TERRORISTIC THREATS-THREAT TO,0,6,0,0,0,0,0,0,30,6,180,48,18,12,30,18,HUD,
ANGELO SERVIDIO,TERRORISTIC THREATS-THREATEN I,0,2,0,0,0,0,0,0,30,2,60,48,12,25.4558441227157,30,12,HUD,
ANGELO SERVIDIO,THEFT BY UNLAWFL TAKNG-MOVABLE,272.333333333333,12,3268,1460,0,435.869733111195,0,0,15.5,12,186,24,0,10.6898422473265,21,24,HUD,
ANGELO SERVIDIO,THEFT BY UNLAWFL TAKNG-VALUE $,227.5,8,1820,1460,0,504.610457963085,0,0,14.25,8,114,48,0,18.6834533363463,6,0,HUD,
ANGELO SERVIDIO,THEFT BY UNLAWFL TAKNG-VALUE L,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,HUD,
ANGELO SERVIDIO,THEFT OF SERVCS-KNOW SERVCS CO,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,THEFT-BY EXTORTION,1825,1,1825,1825,1825,,1825,1825,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,THROWING BODILY FLUID AT LAW E,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,HUD,
ANGELO SERVIDIO,UNLAW TAKING MEANS CONVEYANCE-,452.5,6,2715,1095,0,411.166024861004,540,540,10,6,60,48,0,19.2249837451167,0,0,HUD,
ANGELO SERVIDIO,UNLAW TAKING MEANS OF CONVEYAN,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,UNLAWFUL POSS WEAP - OTHER WEA,114.6,5,573,540,0,238.234758169332,0,0,4.8,5,24,24,0,10.733126291999,0,0,HUD,
ANGELO SERVIDIO,UNLAWFUL POSS WEAPON - HANDGUN,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,UNLAWFUL POSS WEAPON-HANDGUNS,1825,4,7300,1825,1825,0,1825,1825,0,4,0,0,0,0,0,0,HUD,
ANGELO SERVIDIO,UNLAWFUL POSSESSION OF WEAPONS,0,2,0,0,0,0,0,0,18,2,36,36,0,25.4558441227157,18,0,HUD,
ANGELO SERVIDIO,USE/POSS W/INTEUSE/POSS W/INT,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,HUD,
ANGELO SERVIDIO,WANDER/REMAIN/PROWL IN PUBLIC,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,HUD,
ANGELO SERVIDIO,WANDERING/PROWLING TO OBTAIN/S,44.2,5,221,221,0,98.8342046054907,0,0,4.8,5,24,12,0,6.57267069006199,0,0,HUD,
ANGELO SERVIDIO,WITNESS TAMPERING-TO CAUSE FLS,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,HUD,
ANTHONY F PICHECA JR,AGG ARSON-PURP DESTROY STRUCTU,2920,1,2920,2920,2920,,2920,2920,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,AGG ASSAULT - STRANGLE DOMESTI,121.333333333333,3,364,364,0,210.155497985024,0,0,28,3,84,36,12,13.856406460551,36,36,SOM,
ANTHONY F PICHECA JR,AGG ASSAULT-ASSAULT ON CORREC/,441,1,441,441,441,,441,441,24,1,24,24,24,,24,24,SOM,
ANTHONY F PICHECA JR,AGG ASSAULT-ATTEMPT/CAUSE BI W,456,3,1368,694,310,207.874962417315,364,310,0,3,0,0,0,0,0,0,SOM,
ANTHONY F PICHECA JR,AGG ASSAULT-ATTEMPT/CAUSE SBI,2555,1,2555,2555,2555,,2555,2555,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,AGG ASSAULT-ATTEMPT/CAUSE SIGN,0,2,0,0,0,0,0,0,36,2,72,36,36,0,36,36,SOM,
ANTHONY F PICHECA JR,AGG ASSAULT-ON LAW ENFORCEMENT,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,SOM,
ANTHONY F PICHECA JR,AGGRAVATED SEXUAL ASSAULT - VI,1825,1,1825,1825,1825,,1825,1825,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,ASSAULT BY AUTO/VESSEL BI VIOL,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,SOM,
ANTHONY F PICHECA JR,ASSAULT BY AUTO/VESSEL-RECKLES,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,SOM,
ANTHONY F PICHECA JR,BURGLARY-ENTERING STRUCTURE ET,541.416666666667,12,6497,1460,0,571.836508474444,323,0,12,12,144,36,0,15.350451577604,0,0,SOM,
ANTHONY F PICHECA JR,BURGLARY-NO BI AND/OR UNARMED,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,SOM,
ANTHONY F PICHECA JR,CDS - MANU/DIST/PWID - HEROIN/,4380,1,4380,4380,4380,,4380,4380,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,CERT PERSON NOT TO HAVE WEAP P,2737.5,2,5475,3650,1825,1290.46987566545,2737.5,1825,0,2,0,0,0,0,0,0,SOM,
ANTHONY F PICHECA JR,CIRCULATE FALSE REPORT OF IMPE,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,SOM,
ANTHONY F PICHECA JR,CONSPIRACY - AGREE/ENGAGE IN C,0,2,0,0,0,0,0,0,48,2,96,60,36,16.9705627484771,48,36,SOM,
ANTHONY F PICHECA JR,CONTEMPT - VIOLATE DOMESTIC VI,90,2,180,180,0,127.279220613579,90,0,6,2,12,12,0,8.48528137423857,6,0,SOM,
ANTHONY F PICHECA JR,CONTEMPT - VIOLATE DV ORDER BY,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,SOM,
ANTHONY F PICHECA JR,CONTEMPT-VIOLATE JUDICIAL/REST,540,2,1080,540,540,0,540,540,0,2,0,0,0,0,0,0,SOM,
ANTHONY F PICHECA JR,CONTRACTOR - MUST REGISTER DIV,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,SOM,
ANTHONY F PICHECA JR,CREDIT CARD CRIMES-SCAN DEVICE,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,SOM,
ANTHONY F PICHECA JR,CREDIT CARD THEFT - FRAUDULENT,90,3,270,270,0,155.884572681199,0,0,28,3,84,36,12,13.856406460551,36,36,SOM,
ANTHONY F PICHECA JR,CRIMINAL ATTEMPT - PURPOSELY E,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,CRIMINAL ATTEMPT-OMISSION STEP,1277.5,2,2555,2555,0,1806.65782593163,1277.5,0,12,2,24,24,0,16.9705627484771,12,0,SOM,
ANTHONY F PICHECA JR,CRIMINAL MISCHIEF-DAMAGE PROPE,51.6666666666667,3,155,155,0,89.489291724392,0,0,24,3,72,60,0,31.7490157327751,12,0,SOM,
ANTHONY F PICHECA JR,CRIMINAL RESTRAINT - RISK OF S,1825,1,1825,1825,1825,,1825,1825,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,CRIMINAL SEXUAL CONTACT,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,SOM,
ANTHONY F PICHECA JR,CRIMINAL TRESPASS-RESEARCH FAC,0,1,0,0,0,,0,0,6,1,6,6,6,,6,6,SOM,
ANTHONY F PICHECA JR,DISORDERLY CONDUCT-IMPROP BEHA,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,ENDANGERING-ABUSE/NEGLECT OF A,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,SOM,
ANTHONY F PICHECA JR,ENDANGERING-POSSESS/VIEW CHILD,0,1,0,0,0,,0,0,60,1,60,60,60,,60,60,SOM,
ANTHONY F PICHECA JR,EXHIBIT FALSE MOTOR VEHICLE IN,3,1,3,3,3,,3,3,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,FORGERY-FALSE AUTH OF A WRITIN,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,FORGERY-UTTER FORGED DOCS-GOV,583.6,5,2918,1095,0,489.922749012536,364,364,8,5,40,24,0,10.1980390271856,4,0,SOM,
ANTHONY F PICHECA JR,HARASSMENT-COMMUNICATION IN MA,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,HINDERING-AID-UNDERLYING 3RD D,364,1,364,364,364,,364,364,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,HINDERING-FALSE INFO-UNDERLYIN,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,HINDERING-GIVE FALSE INFORMATI,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,SOM,
ANTHONY F PICHECA JR,IDENTITY CRIME-IMPERSONATN-VAL,1095,2,2190,1095,1095,0,1095,1095,0,2,0,0,0,0,0,0,SOM,
ANTHONY F PICHECA JR,IDENTITY CRIME-REP SELF AS ANO,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,SOM,
ANTHONY F PICHECA JR,INVASION OF PRIVACY-RECORD SEX,364,1,364,364,364,,364,364,60,1,60,60,60,,60,60,SOM,
ANTHONY F PICHECA JR,KNOWINGLY EXHIBITING A FALSE G,40.3333333333333,3,121,121,0,69.8593825719447,0,0,20,3,60,24,12,6.92820323027551,24,24,SOM,
ANTHONY F PICHECA JR,KNOWINGLY LEAVE SCENE OF ACCID,1825,1,1825,1825,1825,,1825,1825,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,LEADER OF AUTO THEFT TRAFFICKI,2555,1,2555,2555,2555,,2555,2555,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,LURE/ENTICE CHILD BY VARIOUS M,1095,2,2190,1095,1095,0,1095,1095,0,2,0,0,0,0,0,0,SOM,
ANTHONY F PICHECA JR,MANUF/DISTR CDS OR INTENT TO M,912.25,4,3649,1825,0,869.083952599901,912,0,6,4,24,24,0,12,0,0,SOM,
ANTHONY F PICHECA JR,MONEY LAUNDERING-TRANSP/POSSES,60,1,60,60,60,,60,60,24,1,24,24,24,,24,24,SOM,
ANTHONY F PICHECA JR,OBSTRUCT ADMIN OF LAW-OBSTRUCT,136,1,136,136,136,,136,136,12,1,12,12,12,,12,12,SOM,
ANTHONY F PICHECA JR,OBTAINING CDS/ANALOG BY FRAUD/,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,SOM,
ANTHONY F PICHECA JR,OPERATE MV DURING LICENSE SUSP,180,2,360,180,180,0,180,180,6,2,12,12,0,8.48528137423857,6,0,SOM,
ANTHONY F PICHECA JR,"POSS CDS - < 50G MARIJUANA, 5G",0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,SOM,
ANTHONY F PICHECA JR,"POSS CDS - > 50G MARIJUANA, 5G",365,2,730,365,365,0,365,365,0,2,0,0,0,0,0,0,SOM,
ANTHONY F PICHECA JR,POSS CDS-FAILS TO GIVE CDS TO,0,4,0,0,0,0,0,0,21,4,84,36,12,11.4891252930761,18,12,SOM,
ANTHONY F PICHECA JR,POSS CDS/ANALOG - SCHD I II II,304.491228070175,57,17356,1825,0,534.726803504336,0,0,18.1052631578947,57,1032,60,0,17.7298015967933,12,0,SOM,
ANTHONY F PICHECA JR,POSS OF WEAPON FOR UNLAWFUL PU,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,POSS/DIST WITHIN 500 FT CERTAI,1825,1,1825,1825,1825,,1825,1825,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,POSS/DIST/PWID - IMITATION CDS,71,2,142,142,0,100.40916292849,71,0,30,2,60,36,24,8.48528137423857,30,24,SOM,
ANTHONY F PICHECA JR,POSS/SELL HYPODERMIC SYRINGE F,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,POSSESSION OF A FALSE GOVERNME,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,SOM,
ANTHONY F PICHECA JR,POSSESSION OF FIREARM WHILE CO,2737.5,2,5475,3650,1825,1290.46987566545,2737.5,1825,0,2,0,0,0,0,0,0,SOM,
ANTHONY F PICHECA JR,PRESC/LEGEND DRUGS-DISTRIBUTE,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,SOM,
ANTHONY F PICHECA JR,PRESC/LEGEND DRUGS-POSS WITHOU,540,1,540,540,540,,540,540,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,RECEIVNG STOLEN PROP-KNOW PROP,973.333333333333,3,2920,1825,0,918.563189624608,1095,0,8,3,24,24,0,13.856406460551,0,0,SOM,
ANTHONY F PICHECA JR,REG OF SEX OFF-NOTICE OF CHANG,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,SOM,
ANTHONY F PICHECA JR,RESIST ARR/ELUD-AFTER INSTRUCT,135.5,4,542,180,85,51.6171806023279,138.5,180,15,4,60,36,0,18,12,0,SOM,
ANTHONY F PICHECA JR,RESIST ARR/ELUD-FLIGHT PREVENT,272,2,544,364,180,130.107647738325,272,180,6,2,12,12,0,8.48528137423857,6,0,SOM,
